question_id,configuration,latency_ms,qoe_score,quality_label,provider,adaptive_action,success
q01,cloud_only,6539,0.0,failure,unavailable,none,False
q02,cloud_only,429,0.0,failure,unavailable,none,False
q03,cloud_only,444,0.0,failure,unavailable,none,False
q04,cloud_only,427,0.0,failure,unavailable,none,False
q05,cloud_only,362,0.0,failure,unavailable,none,False
q06,cloud_only,506,0.0,failure,unavailable,none,False
q07,cloud_only,448,0.0,failure,unavailable,none,False
q08,cloud_only,483,0.0,failure,unavailable,none,False
q09,cloud_only,466,0.0,failure,unavailable,none,False
q10,cloud_only,450,0.0,failure,unavailable,none,False
q11,cloud_only,429,0.0,failure,unavailable,none,False
q12,cloud_only,443,0.0,failure,unavailable,none,False
q13,cloud_only,455,0.0,failure,unavailable,none,False
q14,cloud_only,500,0.0,failure,unavailable,none,False
q15,cloud_only,448,0.0,failure,unavailable,none,False
q16,cloud_only,470,0.0,failure,unavailable,none,False
q17,cloud_only,477,0.0,failure,unavailable,none,False
q18,cloud_only,459,0.0,failure,unavailable,none,False
q19,cloud_only,388,0.0,failure,unavailable,none,False
q20,cloud_only,400,0.0,failure,unavailable,none,False
q01,static_hybrid,6074,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q02,static_hybrid,44,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q03,static_hybrid,27,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q04,static_hybrid,23,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q05,static_hybrid,24,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q06,static_hybrid,29,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q07,static_hybrid,29,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q08,static_hybrid,27,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q09,static_hybrid,24,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q10,static_hybrid,21,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q11,static_hybrid,26,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q12,static_hybrid,21,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q13,static_hybrid,28,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q14,static_hybrid,24,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q15,static_hybrid,26,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q16,static_hybrid,26,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q17,static_hybrid,27,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q18,static_hybrid,26,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q19,static_hybrid,29,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q20,static_hybrid,27,100.0,excellent,local,CHANGE_RETRIEVAL_K,True
q01,adaptive_hybrid,6444,0.0,failure,unavailable,none,False
q02,adaptive_hybrid,399,0.0,failure,unavailable,none,False
q03,adaptive_hybrid,368,0.0,failure,unavailable,none,False
q04,adaptive_hybrid,452,0.0,failure,unavailable,none,False
q05,adaptive_hybrid,434,0.0,failure,unavailable,none,False
q06,adaptive_hybrid,416,0.0,failure,unavailable,none,False
q07,adaptive_hybrid,433,0.0,failure,unavailable,none,False
q08,adaptive_hybrid,407,0.0,failure,unavailable,none,False
q09,adaptive_hybrid,387,0.0,failure,unavailable,none,False
q10,adaptive_hybrid,450,0.0,failure,unavailable,none,False
q11,adaptive_hybrid,492,0.0,failure,unavailable,none,False
q12,adaptive_hybrid,416,0.0,failure,unavailable,none,False
q13,adaptive_hybrid,421,0.0,failure,unavailable,none,False
q14,adaptive_hybrid,449,0.0,failure,unavailable,none,False
q15,adaptive_hybrid,445,0.0,failure,unavailable,none,False
q16,adaptive_hybrid,425,0.0,failure,unavailable,none,False
q17,adaptive_hybrid,372,0.0,failure,unavailable,none,False
q18,adaptive_hybrid,371,0.0,failure,unavailable,none,False
q19,adaptive_hybrid,373,0.0,failure,unavailable,none,False
q20,adaptive_hybrid,447,0.0,failure,unavailable,none,False
